"","X","ID","Name","Elevation","Prominence","Municipality","Latitude","Longitude"
"67",67,66,"Store Svartdalspiggen",2174,180,"Vågå / Lom",61.252," 8.3046"
"68",68,67,"Hestbrepiggene, N2",2172,870,"Skjåk",61.451," 8.510"
"69",69,68,"Loftet",2170,340,"Lom",61.3723," 8.733"
"70",70,69,"Trollsteinrundhøe",2170,140,"Lom",61.403," 8.3325"
"71",71,70,"Store Rauddalseggi",2168,650,"Luster",61.283," 8.1837"
"72",72,72,"Styggehøbretinden, N",2168,60,"Vågå",61.3437," 8.3243"
"73",73,71,"Skagastølstinden, N",2167,60,"Luster",61.2823," 7.5155"
"74",74,73,"Bukkeholstinden, W4",2166,50,"Lom",61.3547," 8.1611"
"76",76,75,"Slettmarkpiggen",2163,150,"Vang / Lom",61.2352," 8.2759"
"77",77,76,"Tverrbottindene",2161,280,"Lom",61.3433," 8.1519"
"78",78,77,"Hestbrepiggene, mid-1",2160,190,"Skjåk",61.4425," 8.455"
"79",79,78,"Skarddalseggi",2159,570,"Lom",61.296," 8.2021"
"80",80,79,"Store Rauddalstinden",2157,639,"Luster",61.2941," 8.1112"
"81",81,80,"Urdanostindene",2157,692,"Vang / Luster / Årdal",61.2536," 8.90"
"82",82,81,"Veslfjelltinden",2157,190,"Lom",61.3636," 8.650"
"83",83,82,"Gråhøe",2154,60,"Lom",61.4125," 8.3341"
"84",84,83,"Skarvflytindene, mid",2154,60,"Vågå",61.2612," 8.3559"
"85",85,84,"Tverrbottindene, E1",2151,90,"Lom",61.3415," 8.1610"
"86",86,85,"Veslebjørn, S",2150,100,"Lom",61.3319," 8.740"
"87",87,86,"Bukkeholstinden, N",2149,100,"Lom",61.3535," 8.184"
"88",88,87,"Store Dyrhaugstinden",2147,410,"Luster",61.2735," 7.4949"
"89",89,88,"Semelholstinden",2147,140,"Lom",61.326," 8.2125"
"90",90,89,"Tjønnholsoksle",2145,130,"Vågå",61.2558," 8.3814"
"91",91,90,"Hestbrepiggene, mid-2",2143,50,"Skjåk",61.4426," 8.35"
"92",92,91,"Ryggehøi",2142,300,"Lom",61.378," 8.3338"
"93",93,92,"Snøholstinden",2141,676,"Vang",61.2629," 8.1836"
"94",94,93,"Memurutinden, W5",2140,80,"Lom",61.3221," 8.2918"
"95",95,94,"Hestbrepiggene, W2",2139,50,"Skjåk / Lom",61.4356," 8.040"
"96",96,95,"Storronden",2138,390,"Sel",61.533," 9.5143"
"97",97,96,"Mjølkedalstinden",2137,550,"Luster",61.2734," 8.152"
"98",98,97,"Svartdalspiggen, N",2137,50,"Vågå / Lom",61.2518," 8.3033"
"99",99,98,"Kniven",2133,100,"Lom",61.344," 8.728"
"100",100,99,"Hestbrepiggene, E1",2132,50,"Skjåk",61.4431," 8.633"
"101",101,100,"Store Ringstinden",2124,270,"Årdal / Luster",61.2631," 7.480"
"102",102,101,"Veotinden, N",2120,50,"Lom / Vågå",61.353," 8.3158"
"103",103,102,"Torfinnstinden, E",2119,190,"Vang",61.2224," 8.3438"
